country,wines_rating,vintages_rating
Afrique du Sud,4.440628224092283,4.411231369765791
Allemagne,4.45245348907219,4.016704805491991
Argentine,4.384797135968266,4.435738304524807
Australie,4.606671484298262,4.402497371188224
Chili,4.5406656263393295,4.506107954545454
Croatie,4.3,4.4
Espagne,4.477487936355168,4.45039362049274
France,4.530254978170943,4.505847020572211
Grèce,4.4,3.8540540540540538
Hongrie,4.421785258126983,4.400564784053157
Israël,4.5,0.0
Italie,4.520766734926034,4.506045633958127
Moldavie,4.464138608623361,4.4872198378636154
Portugal,4.368605769901139,4.444920462762111
Roumanie,4.4,4.5
Suisse,4.315663801337154,4.4
États-Unis,4.545917504672065,4.5435894930227105
